Method,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20,Run_21,Run_22,Run_23,Run_24,Run_25
drift_localizer,0.6933333333333334,0.68,0.6733333333333333,0.7266666666666667,0.6733333333333333,0.7,0.6533333333333333,0.64,0.7066666666666667,0.66,0.6866666666666666,0.6866666666666666,0.6933333333333334,0.6666666666666666,0.6533333333333333,0.64,0.66,0.6933333333333334,0.6533333333333333,0.6333333333333333,0.6533333333333333,0.7,0.7,0.7133333333333334,0.6733333333333333
localizer_vs_origin,0.9733333333333334,0.96,0.9533333333333334,0.94,0.9666666666666667,0.9933333333333333,0.9066666666666666,0.8933333333333333,0.9733333333333334,0.94,0.8866666666666667,0.9666666666666667,0.96,0.9333333333333333,0.88,0.8666666666666667,0.8333333333333334,0.9733333333333334,0.9466666666666667,0.8333333333333334,0.9333333333333333,0.98,0.9133333333333333,0.9933333333333333,0.9666666666666667
c2_domain_a,0.5344372543830743,0.5575985719455155,0.5758477737035483,0.5702432893397091,0.575486456887118,0.49610465753218125,0.6896890747049536,0.440735295096268,0.6179349106484268,0.5716304152205997,0.6629292780282712,0.7206777627089453,0.6674059520512875,0.5131447259707979,0.41818879502592954,0.44480345306917424,0.5635053585711421,0.5944032039367629,0.605061295567446,0.45254654936510813,0.5502157907154371,0.529151622579724,0.7492612788894003,0.6734164671915361,0.4724034082272754
c2_domain_b,0.2982904962842771,0.29780636588558546,0.35881841112998225,0.30615632227386447,0.22266338939160454,0.337949178116489,0.3382405053522968,0.2589303630066776,0.3843477755068033,0.23086846738978345,0.31600977194345636,0.39542515733327127,0.40787779335765173,0.2682224883026022,0.34696141835595234,0.4777223043399788,0.21949840831617287,0.3062598952512923,0.3677672016771898,0.20366285098509795,0.286497260033707,0.2570357915941452,0.3699358664539544,0.4337140526350743,0.2582807698256602
one_local_l_probs,0.6466666666666666,0.6666666666666666,0.6933333333333334,0.6733333333333333,0.6733333333333333,0.7066666666666667,0.66,0.64,0.6733333333333333,0.6466666666666666,0.6733333333333333,0.68,0.6933333333333334,0.6666666666666666,0.68,0.6266666666666667,0.6733333333333333,0.6866666666666666,0.68,0.6533333333333333,0.62,0.7133333333333334,0.6666666666666666,0.7066666666666667,0.6933333333333334
one_local_preds_l_probs,0.9,0.96,0.9533333333333334,0.92,0.96,0.9666666666666667,0.9266666666666666,0.9866666666666667,0.9266666666666666,0.96,0.8533333333333334,0.9533333333333334,0.8933333333333333,0.92,0.9733333333333334,0.9466666666666667,0.9466666666666667,0.9666666666666667,0.92,0.9533333333333334,0.9533333333333334,0.96,0.8866666666666667,0.9933333333333333,0.94
one_local_origin_l_probs,0.9266666666666666,0.96,0.9866666666666667,0.8733333333333333,0.9533333333333334,0.96,0.9266666666666666,0.8933333333333333,0.94,0.9,0.7666666666666667,0.9466666666666667,0.8933333333333333,0.9333333333333333,0.88,0.84,0.86,0.98,0.96,0.8666666666666667,0.9133333333333333,0.98,0.9066666666666666,0.9866666666666667,0.96
reconstructed_single_concepts,0.6466666666666666,0.6533333333333333,0.6866666666666666,0.6666666666666666,0.66,0.66,0.6666666666666666,0.64,0.6866666666666666,0.6466666666666666,0.6733333333333333,0.6466666666666666,0.6733333333333333,0.6333333333333333,0.68,0.64,0.68,0.6933333333333334,0.6666666666666666,0.6533333333333333,0.6266666666666667,0.7133333333333334,0.68,0.68,0.6933333333333334
reconstructed_single_concepts_preds,0.8866666666666667,0.8933333333333333,0.96,0.9,0.8533333333333334,0.92,0.92,0.9866666666666667,0.94,0.96,0.88,0.84,0.94,0.7666666666666667,0.9733333333333334,0.96,0.9533333333333334,0.9733333333333334,0.88,0.9533333333333334,0.96,0.96,0.9133333333333333,0.9,0.9533333333333334
reconstructed_all_concepts,0.7,0.6733333333333333,0.66,0.6933333333333334,0.66,0.6666666666666666,0.7,0.6533333333333333,0.7,0.6533333333333333,0.6666666666666666,0.6466666666666666,0.7,0.6466666666666666,0.6666666666666666,0.66,0.66,0.6933333333333334,0.6866666666666666,0.6266666666666667,0.6266666666666667,0.7,0.72,0.6733333333333333,0.6933333333333334
